20230109	15:23:39	54c8162b-7c29-48ca-a0d7-3284d48d5893	POST 	 undefined 	 /auth/
20230109	15:23:52	fb2560ef-2e03-4d5c-9bc5-da4efaf81b44	POST 	 undefined 	 /employees
20230109	15:53:14	da939c22-2807-4ce6-8454-df3690994930	POST 	 undefined 	 /register
20230109	15:54:35	62dae0ea-3cf7-4c60-ab5d-59c26d469971	POST 	 undefined 	 /register
20230109	15:54:40	994e0944-b4b6-4a61-854f-d3ab5e8217d1	POST 	 undefined 	 /register
20230109	16:13:08	28fce9d1-3e59-4c43-bbf7-57a361d56707	POST 	 undefined 	 /register
20230109	16:18:00	3cbd61bc-730d-4975-b166-b065d4eebfd9	POST 	 undefined 	 /auth/
20230109	16:18:43	9ca3b143-92da-4d3e-8b88-bf7a33f44897	POST 	 undefined 	 /auth/
20230109	16:24:18	d29bed7b-851f-4bbf-b40f-12ebde270e5a	POST 	 undefined 	 /auth/
20230109	16:24:28	3116bf00-bdcb-4321-bf37-b4148cde42e4	GET 	 undefined 	 /refresh
20230109	16:26:53	70d48002-32d6-4f5c-bc19-e7b1086468d4	POST 	 undefined 	 /auth/
20230109	16:27:03	4ec12e6f-a906-416b-9f7c-8ba9aed83e33	GET 	 undefined 	 /refresh
20230109	16:27:12	6db3605d-5d83-481e-95b8-58bf028e5fe2	GET 	 undefined 	 /refresh
20230109	16:27:13	0e7dfa07-72df-4356-a76d-37a53b6509f0	GET 	 undefined 	 /refresh
20230109	16:40:42	ab868a2d-d788-4b98-aeca-4ab2d4d550c5	POST 	 undefined 	 /auth/
20230109	16:41:02	4923d0b9-d5f8-4d64-91b4-f0143a3b2c1a	GET 	 undefined 	 /employees
20230109	16:41:19	4465df4d-0717-428e-82b2-dedec33cfdc4	POST 	 undefined 	 /employees
20230109	16:41:28	f4493538-d021-4d01-a65a-0283198e2df9	POST 	 undefined 	 /employees
20230109	16:41:42	fca6ab3d-99bc-4dbc-8aeb-bb0e61f46260	POST 	 undefined 	 /employees
